500,analytics,android,app,basketball,berlin,church,code,data,di,english,fans,far,france,francisco,game,gay,god,google,got,holiday,just,love,man,mashable,miss,mom,mt,nfl,nice,obama,omg,online,playlist,pm,problem,published,reading,report,running,seo,software,startup,susan,sustainability,test,things,wine,women,yahoo,author
0.0,0.0,0.0,0.001706039337731166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015829625608666714,0.001692246784026352,0.0,0.0,0.004727112392005374,0.0,0.0,0.0014820390007132464,0.0126895173554823,0.0037862434550259023,0.014324721763083612,0.0893325508611614,0.0016046891353969867,0.0,0.01194227536411816,0.0,0.0,0.0,0.003071296647673373,0.0,0.002571516818791423,0.0029270851076662885,0.0,0.0,0.0,0.0,0.0016831522058599554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097672273718317,0.0,0.0,0
0.0,0.036981950465907236,0.0,0.015811546711039102,0.0,0.0,0.013471582120901823,0.0,0.0162503023506541,0.0,0.0,0.0,0.015683717532458608,0.013471582120901823,0.0,0.0073018009942182015,0.0,0.01985422007452539,0.04120654495315943,0.02613472320483651,0.0,0.3263715391832165,0.0899926876855665,0.007436117286360185,0.0,0.007905773355519551,0.0,0.0,0.0,0.035580913445353995,0.0,0.0,0.061038405878350965,0.0,0.0,0.0,0.0,0.023399143679889326,0.008547063720943745,0.0,0.08522471485970927,0.0,0.0,0.0,0.0,0.0,0.038156053989385735,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014629650649375712,0.017854563128046154,0.0,0.0,0.0,0.007988167331324387,0.02145127421771529,0.027052630422245125,0.007335085890073732,0.00909149849619317,0.0,0.0,0.0,0.0,0.0,0.008700342090487749,0.0,0.0,0.0,0.0,0.0,0.009510442222939394,0.0,0.0,0.02089951354273553,0.0,0.0,0.0,0.0,0.0,0.021553027490665143,0.011354210188146831,0.007775018738642563,0.0,0.3170094045448789,0.02725079424777277,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03218755247622265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08060062924286934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0839049941311913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014475414198066212,0.0,0.0,0.13991283676940774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08350615755098548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07058330691822053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07313649432143918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04310645211150906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2239890942295613,0.1349615520207639,0.0,0.0,0.0,0.0,0.05383550749782632,0.0,0.0,0.0,0.0,0.06102598038482479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028611214965532573,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004747031888988327,0.0,0.0,0.0,0.0020767866300307647,0.0,0.0,0.0,0.0,0.0,0.0,0.0040831953968504505,0.00582685732620434,0.022601703229266832,0.01534801661585682,0.014267936456234488,0.0007368518741044786,0.0,0.008617295905673316,0.003325480337596063,0.0011857105297878115,0.0,0.006346343278469796,0.0,0.003542418800166331,0.0020161177324045693,0.0,0.0,0.0007708066143848108,0.0025320754015888754,0.0030915242832604377,0.0008469366039209543,0.0016890310561583502,0.0,0.0,0.0,0.0,0.0017468395012958404,0.0,0.0031507661422179732,0.001121245173751094,0.0016058200825299054,0.0,0
0.0,0.0,0.0,0.05039335770472368,0.0,0.0,0.0,0.013571711100283455,0.011509272504486159,0.0,0.007805064393123892,0.022265661590369804,0.0055539944755916395,0.0,0.0,0.020685994783993068,0.0,0.0,0.009728174992288296,0.023137388823851173,0.01863981255360276,0.043096239920153344,0.11047798346352147,0.0,0.0,0.01119852393438304,0.13468974068753498,0.0,0.0,0.05040034578613626,0.0,0.0,0.02882029028688992,0.010291857370000712,0.017461638004226752,0.01101863746574462,0.018097938163325732,0.016572437556685294,0.0,0.0,0.010060063768578056,0.0,0.0804499767246637,0.0,0.0,0.006577397919062635,0.013512007764029395,0.0,0.017216331237697214,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.03350382140271398,0.0,0.0,0.0,0.0,0.0,0.009751350406030321,0.0,0.0,0.0,0.01666798646676912,0.0,0.008540055592230242,0.024373893804916863,0.010908865952946477,0.11005911013236044,0.044762358403165774,0.0,0.0,0.0,0.027821139273271102,0.0,0.0,0.04424486146912798,0.013030877694961912,0.01481802879564229,0.008433472240146534,0.0,0.0,0.00967291157721614,0.0,0.009698944090750136,0.010628272680007444,0.0,0.0,0.0,0.0,0.058464708522740175,0.0,0.011548177109384331,0.023723524208586314,0.0,0.0,0.0,0
