 #social, account, buildin, entrepr, favorit, for you, google , holiday, i have , i love , leaders, love th, on the , out of , playing, problem, reading, really , season , so much, startup, stories, that s , that th, things , to see , what yo,a great ,android ,autiful ,beautifu,big data,creative,engineer,facebook,giveaway,he same ,journali,ketball ,manager ,ne of th,opportun,ould be ,question,research,s on the,software,thank yo,that the,what you,author
0.0,0.0012027826753635324,0.0011763939636200732,0.0,0.027925493974081173,0.0058945977334179936,0.0,0.002359277701814002,0.002115086108829122,0.015335305061791015,0.0,0.030335455067706345,0.021471669971581963,0.003197375637919207,0.0013038307463637845,0.0010254834909912498,0.0011294377247243455,0.0009235612699314725,0.0,0.0,0.0,0.0,0.002109629660428771,0.0011861739384847905,0.0,0.012181368604217029,0.00694339935297064,0.00486337810132186,0.0,0.0162012651569315,0.017124835755095453,0.0,0.0,0.003019648638732896,0.0,0.0,0.0023527879272401465,0.0,0.0,0.0015472294879127061,0.0,0.0,0.0029844700338756505,0.004186772630774731,0.003659380799010525,0.007421973404952998,0.0,0.017097010440318826,0.0012372266740782293,0.00696234365942906,0
0.0,0.005657415109852129,0.022133172089169,0.0,0.005472937699492734,0.0,0.028648175689488818,0.0,0.03481985669180895,0.011097111383438892,0.007226325558252017,0.02195169397656099,0.03635793476484659,0.010026128918299104,0.0,0.0,0.015937288207683774,0.02172033897065121,0.0,0.011672145568603937,0.0,0.006731512585474725,0.019845731006218,0.005579294165064697,0.026128259226856267,0.004774695948248136,0.0,0.0228754115925608,0.0,0.0,0.0,0.0,0.0,0.0,0.009335036107533857,0.01012937417733242,0.01659987906687675,0.0,0.0,0.0,0.0,0.005989791758819887,0.009358512949673593,0.01969292643469552,0.0172122833568148,0.004987147761147268,0.007175876302648902,0.0050260994348545205,0.0,0.0,0
0.0,0.0,0.0,0.1082827313571621,0.0,0.016268195719449367,0.0,0.058601237660112125,0.0,0.01953374588670404,0.12720175753137866,0.01932028962783797,0.07111026305475958,0.0,0.0,0.050943220228711616,0.0,0.0,0.0,0.04109190538179002,0.0,0.0,0.0,0.01964196098999073,0.015330799717874497,0.08404682454439928,0.0,0.08053311563038021,0.0,0.0,0.0,0.0,0.022319625896073163,0.025001316771988184,0.0,0.0,0.0,0.0,0.0,0.0,0.0176485436389932,0.0,0.032946738573638217,0.034664572378266166,0.02019867198495961,0.017557303644096054,0.0,0.017694433401520087,0.020487347832867733,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09928710415993196,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0611356629887452,0.0,0.02666796320309664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026940377776930955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02096846279655646,0.0,0.0,0.0,0.16246232552332773,0.023948433357591416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03769104313045304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.04420257405080652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1286349012356116,0.031563576740959325,0.039168126905012667,0.0,0.0,0.0,0.0,0.0,0.045598464034354205,0.0,0.0,0.03876471751503077,0.0,0.03402426405192583,0.0,0.0,0.07149216065845843,0.0,0.17011448000293353,0.16782457015769028,0.0,0.04953484873608938,0.0,0.036468300168714614,0.0,0.0,0.0,0.0,0.0,0.039168126905012667,0.0,0.0,0.0,0.0,0.0,0.0,0.03926997191155037,0.0,0.0,0
0.0,0.00518085181094203,0.0,0.0,0.03508339948318141,0.05501236058367755,0.02623494122653357,0.19308417030118424,0.07288397428181262,0.030486974258081726,0.0,0.030153825894883964,0.12578207006742376,0.013772337848954269,0.0,0.008834310819762003,0.019459706566577587,0.0198906842268667,0.017633649426586556,0.016033379732390177,0.0,0.0,0.022717484360476846,0.02043724613986069,0.01993941233227496,0.02623494122653357,0.009969305303098962,0.02094845707343908,0.0,0.0,0.00491755427649226,0.0,0.0,0.0,0.0,0.6122230462266909,0.020268741549541336,0.0,0.0,0.0,0.022953896414923784,0.010970460140641429,0.017140361038243894,0.14427243764279082,0.005254124464269224,0.022835228640709245,0.0,0.02761629739386901,0.021316861927718197,0.00999650546331424,0
0.0,0.006021553894549372,0.011778885410067651,0.040921746670784326,0.011650405239529236,0.019673622212611836,0.010164037258780591,0.029528438770927132,0.021177732697351792,0.01771706326255628,0.007691447059063594,0.04672922378502,0.04729768815163832,0.005335729698365378,0.0,0.010267863406177006,0.01696308968178974,0.023118365751859396,0.0068316932076383525,0.0434819759281796,0.04714582602417273,0.0,0.031684648335923875,0.0,0.013905000609844256,0.035574130405732075,0.03476110379013828,0.05356512583890105,0.0,0.028967586491781907,0.028577654009259993,0.0,0.0,0.0,0.034775595706096334,0.0,0.0058894427050338255,0.008311103480623472,0.0,0.0,0.016007189095096127,0.0,0.04482392586063355,0.0209604590728034,0.006106716575727489,0.02123257950192341,0.0,0.04814643301721325,0.0,0.034855945663629484,0
0.0,0.010367783914638424,0.0,0.0,0.010029710449884613,0.02540521941976091,0.008750112001385412,0.010168288049060616,0.018231685728733942,0.010168288049060616,0.0,0.0,0.014806574062733916,0.009186946344471932,0.01123880125349809,0.008839494831776566,0.009735562803516187,0.015921884933509694,0.011762664619179344,0.0,0.0,0.0,0.0,0.0,0.02394133543939149,0.017500224002770823,0.009975155334813095,0.016768599775333383,0.0,0.02992546600443928,0.029522639512385963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009186946344471932,0.0,0.00857520953832724,0.0,0.0,0.0,0.0,0.009210834252432994,0.0,0.010002371456200695,0
