 actually , basketbal, beautiful, big data , building , can t wai, children , colorado , download , football , from the , is there , love this, of the we, on twitte, one of th, opportuni, research , shopping , should be, software , that the , the first, the inter, the same , what you , with the ,@mashable ,available ,beautiful ,can t wait,d a video ,data scien,ded a vide,epic twitt,government,hat s the ,heck out t,journalist,looks like,love this ,microsoft ,n facebook,n francisc,ocialmedia,one of the,paintings ,r business,should be ,thank you ,author
0.0021825197782317698,0.0,0.029897001206863564,0.0,0.0022066777588028138,0.013659859637525695,0.0,0.0,0.002797278914518991,0.0,0.0017788469978452356,0.0,0.0028262955980799835,0.0,0.010119809291232868,0.0,0.0,0.007362533543037314,0.0,0.004271000172409079,0.0,0.002499114821537017,0.002067989882047063,0.0,0.004389086208358992,0.011033388794014068,0.02364747917286101,0.0,0.002256372180169457,0.0302231869838208,0.013659859637525695,0.0,0.0,0.0,0.008783814749039167,0.0,0.002610378372836009,0.0050912950408290095,0.0,0.0050912950408290095,0.0028262955980799835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004305870753320575,0.03206060251209172,0
0.010803923540080765,0.0,0.0,0.0,0.02184702106389859,0.006761912563817825,0.0,0.0,0.0,0.0,0.008805659928448652,0.007019670917890952,0.013990746772550137,0.0,0.0,0.0,0.005914347557338402,0.018223030612052483,0.0,0.0,0.0,0.0,0.010236976906297927,0.0,0.01629516222907439,0.0,0.036018432166544316,0.0,0.005584754089208395,0.0,0.006761912563817825,0.0,0.0,0.0,0.0,0.0,0.019382867888819037,0.006300740420514496,0.0,0.006300740420514496,0.013990746772550137,0.0,0.0,0.0,0.0,0.0,0.0,0.014706619929125725,0.0,0.00495958131806413,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13879638572546688,0.0,0.0,0.08009799768010245,0.0,0.04242085248338112,0.0,0.0,0.030312063940637464,0.0,0.03683560789434129,0.0,0.032052462664086415,0.0,0.03751008254602707,0.031039178556920545,0.0,0.0,0.0,0.08190766846435163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03918007584030175,0.07641701597776931,0.0,0.0,0.04242085248338112,0.04378844752549353,0.0,0.04960522067176257,0.0,0.03087525885731212,0.0,0.08918285273615613,0.03231415499553632,0.030075545057497027,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10482245945431054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6911250928558894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022858604118118686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03889486634558794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.24475520212438046,0.0,0.0,0.0,0.1581403424160958,0.0,0.0,0.0,0.10193913344198684,0.0,0.08098226673462385,0.0,0.0,0.0578663441117632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1939564996717268,0.2474255591015524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08098226673462385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05741482477254771,0
0.01302032728131427,0.0,0.012739820417199094,0.0,0.0,0.03259642269844527,0.0,0.0,0.0,0.019550122883079456,0.11673336186443305,0.0,0.05058276316362167,0.01963285688453897,0.030186033205868268,0.06024034020809685,0.028510657472280463,0.014640966419659196,0.017280393537552154,0.025479640834398187,0.0,0.029818096692216817,0.02467414531337171,0.0,0.052368220869032686,0.02632889462040749,0.04340754293830541,0.0,0.04038273267524878,0.0,0.03259642269844527,0.0,0.0,0.0,0.0,0.0,0.031145633667453636,0.060746599759139826,0.0,0.03037329987956992,0.05058276316362167,0.0,0.0,0.0,0.0,0.03681575958443475,0.0,0.0,0.02568766936201367,0.07172435647096878,0
0.0,0.0,0.047849303690814166,0.0,0.0197776614313108,0.08569989642699193,0.0,0.0,0.01253550389938127,0.014685603664590268,0.007971583871079949,0.012709529081077505,0.02533107392805553,0.014747751547868875,0.02267505542132509,0.0271506966848336,0.0,0.010997957986841177,0.05192254026807725,0.028709582214488508,0.0,0.0,0.009267325862905464,0.0,0.009834451436721608,0.049444153578277,0.008151687529766902,0.0,0.0,0.04837135478862355,0.08569989642699193,0.0,0.0,0.0,0.013121030282501904,0.0,0.023395885266716883,0.011407862924564159,0.015768740687582473,0.0,0.02533107392805553,0.0,0.012003098031907786,0.0,0.0,0.018436769156603427,0.0,0.0,0.028943981598504656,0.08081653592638625,0
0.01163765917912359,0.0,0.0227738803818513,0.0,0.0,0.0,0.0,0.0246543636839392,0.0,0.0,0.01897038029089665,0.0,0.0,0.0,0.0,0.010768647101250466,0.0,0.0,0.0,0.01138694019092565,0.0,0.0,0.011026961438414964,0.0,0.0,0.011766474664392398,0.019398982053398142,0.0,0.0,0.034533525972991815,0.0,0.0,0.0,0.0,0.015612388848498119,0.0,0.013919092112985492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1876215581873386,0.0,0.011479908864124758,0.010684621533400343,0
