 apple , engine, google, great , holida, i love, love t, on the, proble, readin, should, still , storie, story , that t, the ma, things, via @s, women , years ,acebook,beautif,bigdata,creativ,d that ,e from ,e of th,ending ,esearch,etball ,favorit,hat you,holiday,i love ,ig data,journal,ketball,love th,manager,ng the ,nk you ,problem,really ,redit c,s from ,t that ,thank y,that s ,that th,things ,author
0.0,0.0,0.0,0.1100736179597794,0.005498314617224735,0.035060230767668,0.06424587161770308,0.050039890077459716,0.002389897070575693,0.002618109718268089,0.016481988740009338,0.024627246200005143,0.0,0.0025630719019723663,0.00246461212682223,0.007025749406796468,0.0,0.0,0.0,0.004400890030182124,0.0,0.03990955989513996,0.0,0.0,0.002536231614704384,0.008780130839251851,0.006332352336954908,0.009391350832549066,0.008528214767477728,0.0,0.06760747841621736,0.016686754228208468,0.008179723781846615,0.03573904501196077,0.0,0.0,0.0,0.07050395730252243,0.003240494806242656,0.03862232209115067,0.03804431125165947,0.00235974482138882,0.0021523665596730954,0.0,0.01424887795647574,0.004707560880181553,0.03984471278754954,0.004916507959172338,0.0027643873798863733,0.0,0
0.0,0.007885224401945867,0.035253239248899164,0.14498041712044246,0.0,0.013498363470075138,0.030918725702857888,0.04508152017770131,0.0,0.0196557129903156,0.030935032814203813,0.016808312975910136,0.008346646266111412,0.006414170413000296,0.012335543276191177,0.1230751574221732,0.0323973749653847,0.007885224401945867,0.0,0.005506684888695428,0.011574849379185672,0.0,0.0,0.0,0.006347001725169789,0.03295884251709602,0.015846916730324078,0.011751079749633056,0.02134213355277834,0.0,0.006767596139946803,0.0059655918117640675,0.0,0.02063956550264786,0.0,0.0,0.0,0.02714437472059477,0.0,0.04349412513613273,0.011900890071869669,0.0,0.026931834987466628,0.0,0.005094039769596543,0.011780823507846988,0.006232042731607646,0.02460744067518061,0.006917968913979282,0.03223928317184381,0
0.0,0.016005392547848444,0.0,0.24523382483898806,0.04189409597593565,0.013699458320981685,0.01255173769896445,0.05083681342310455,0.036419370013366835,0.0,0.052326490495916235,0.0,0.0,0.0,0.01251931475645071,0.0,0.010960007337961951,0.0,0.4505924761432554,0.011177443885950235,0.0,0.0,0.0,0.014688326532312725,0.0,0.0445998055365984,0.021443999562803653,0.0,0.014440055133858097,0.0,0.0,0.0,0.0415499605521293,0.013964698658645214,0.0,0.0,0.0,0.013774382018912509,0.0,0.039237411974238086,0.024156372420049484,0.03595988331270845,0.0,0.0,0.010339858704163716,0.0,0.012649771929094536,0.0,0.014042061767414914,0.01090652500431205,0
0.07715934119084222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.04824857349675927,0.0,0.0,0.0,0.0,0.0,0.04911290250587432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06475163767101573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11114786614048942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04849326725342765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17779431198368995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030828748582025577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03454831609310132,0.0,0.0,0.0,0.0,0.0,0.0,0.02294731042572726,0.0,0.0,0.0,0.0,0.02620850845378814,0.0,0.0,0
0.0,0.0,0.0,0.12517170995713614,0.0,0.0,0.0960994555957589,0.025948014590237826,0.0,0.0,0.0,0.0,0.0,0.09968041547242312,0.0,0.0,0.02797091430059022,0.0,0.0,0.1141033269022271,0.029980125276202092,0.1379664424849902,0.0,0.03748591675038083,0.0,0.05691133682758824,0.027363497830678058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10546034699997847,0.0,0.10013736796570892,0.030824606313629956,0.0,0.0,0.0,0.052776479572714516,0.030513620786910608,0.03228334394678517,0.03186798074000198,0.0,0.02783442262453672,0
0.029788906696502124,0.0,0.025230197933670626,0.04150409662645812,0.18710462444189915,0.028981709714059212,0.035404885835645106,0.12547168099970046,0.008560724608113758,0.01875638626271085,0.022139724394583973,0.016039266077808326,0.0,0.01377156759619002,0.01765671496342747,0.012583283727511106,0.019321916707118053,0.0,0.00992963556550071,0.007882098363739841,0.0,0.004765264519823229,0.0,0.0,0.022712254706690988,0.05110762299269051,0.030243715037294183,0.008410065977890208,0.005091411601088969,0.0,0.033904246999354674,0.0213474088352026,0.19045102943481096,0.0295428354381946,0.0,0.0,0.0,0.02914021356240549,0.0,0.06571481965855869,0.0298104901773888,0.01267907673308255,0.01927469764276929,0.0,0.10208031271457907,0.03794108906467522,0.026761059408938852,0.02201395574221067,0.019804333300138147,0.02307315619771524,0
0.0,0.0,0.00873163917416441,0.15081876757045362,0.02556038005589514,0.0150449373725974,0.05054314642496116,0.04094178138911222,0.008888058493708906,0.014605176477313181,0.026817320208113744,0.016652554733580214,0.0,0.02859629387657005,0.009165924766050085,0.004354809004020233,0.012036433860330148,0.00585911556657231,0.015463968139519757,0.008183483819078605,0.03010241922417995,0.024737362623510825,0.0,0.0,0.014148417868675987,0.016326710769784234,0.015700067495674444,0.01746327834832882,0.005286090395097725,0.0,0.0100573238935475,0.026596396043844468,0.0354905831380604,0.015336228033537085,0.0,0.006025721304287532,0.0,0.04033925234418472,0.0,0.035909230373917536,0.04421477863011115,0.008775921884233394,0.020011698534854933,0.0,0.015140503904196394,0.017507480544202054,0.04167647114033416,0.027426836199717284,0.0,0.011977698810998248,0
0.0,0.0,0.007844831374093145,0.06452439259981327,0.00918576076709765,0.009011289813794765,0.0,0.01337586489135228,0.007985364344020227,0.008747891384274028,0.013767819420284624,0.05236447410328682,0.0,0.008563993499619635,0.008235009800913833,0.0,0.021627965172702195,0.0210561946980511,0.0,0.02205704427293916,0.0,0.02666996671077735,0.0,0.0,0.008474312033596757,0.0073342639524957625,0.03526382034597568,0.0,0.0,0.0,0.009035876133425812,0.007965065816427858,0.009110305130666572,0.00918576076709765,0.0,0.0,0.0,0.0,0.0,0.025809757039925302,0.015889684659548348,0.007884616617888711,0.014383407045002829,0.0,0.027205590537606246,0.01572937565501554,0.00832082249244057,0.0,0.0,0.021522425640303485,0
