 analy, beaut, build, data , from , game , googl, great, love , m at , more , new y, nice , photo, probl, that , the g, trans, video, when , with , work , you t, your ,apple ,atest ,creati,e from,earch ,esearc,hings ,holida,love t,media ,nk you,o you ,oject ,oliday,oogle ,others,ove th,projec,readin,sting ,story ,succes,t the ,tball ,things,women ,author
0.0,0.10213165690617594,0.0024495672665688297,0.0,0.056948647233188335,0.0075802310493405765,0.0,0.10953064008856753,0.1338728226253484,0.0,0.009494604714824238,0.007200145853986491,0.004886591358715713,0.033897269939517416,0.0024122898683882395,0.03016747490302448,0.020447606100961826,0.007091579097909531,0.0,0.020203501035304387,0.25658926645403546,0.06016158152636927,0.05021349586722031,0.11256143724737573,0.0,0.002685566899433841,0.024558627455982845,0.00886239868964246,0.007367588236794853,0.008608122220958185,0.0,0.008256365953203917,0.06451346892264298,0.002288067594071109,0.03801335733123363,0.040876874911859165,0.0026215887969204816,0.008256365953203917,0.0023519707181925554,0.0,0.06569533576095167,0.018958691353498654,0.005079928487193609,0.014313324270673274,0.004680333318200614,0.0,0.06660420947481062,0.0,0.0,0.0,0
0.017911535182453968,0.0,0.03610976016975552,0.01025471634805958,0.07108635731265965,0.004655929929588975,0.030413717070959845,0.10622513012208656,0.056926642453395994,0.10878394612389393,0.09447478135860256,0.01768989592046694,0.022510818086502685,0.01665630639651653,0.0,0.0972797074430874,0.022606793527217502,0.004355790101263058,0.015665481113552114,0.07073355441023793,0.09655913925751428,0.01911333615236437,0.024137323964670405,0.06690725045863134,0.0,0.0,0.0,0.024495583534740267,0.03167724314748355,0.01586184390366532,0.023902328407875685,0.0,0.022860846005225626,0.029512917057427437,0.008755712406915077,0.031714605907427466,0.0,0.0,0.026003296496277632,0.06160116722923072,0.0186237197183559,0.00873360632981032,0.014040872789213009,0.030142391369623336,0.004312131879916457,0.018194618922806362,0.061364461777987836,0.0,0.02367031700235876,0.0,0
0.0,0.0,0.009715651029353949,0.0,0.051003772007047365,0.020043507439697177,0.0,0.19053875184292854,0.008168862782064763,0.0,0.04518982629945211,0.009519246580474443,0.009690776206125549,0.02688916120613152,0.02870339614196639,0.05234793503537589,0.04866046537458129,0.009375711471256263,0.016859746172857272,0.008013258844087883,0.10033690804119592,0.0,0.034636591742619696,0.10081113706955566,0.0,0.0,0.01948124122808492,0.03515068727717685,0.00974062061404246,0.011380719179569558,0.008574844419097517,0.03274699636410844,0.00984146118848404,0.01815019867301427,0.018846416228534595,0.08533095819011602,0.010397935276552066,0.03274699636410844,0.0,0.00947105145117069,0.010021753719848588,0.03759766708138432,0.0,0.03244031024972086,0.0,0.019581693950338225,0.08071874477271672,0.0,0.008491611452341516,0.3731771652483757,0
0.0,0.0,0.0,0.05722560240246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048614257873766886,0.0,0.0,0.03716140321514602,0.0,0.0,0.14934816654629132,0.05434756647991585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.03518309813606347,0.0,0.04515840308219673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046199987078936015,0.0,0.0,0.0,0.0,0.0,0.1038206531605583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04504475942732922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.04449652338848846,0.0,0.0,0.038212740100921336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033553343137040184,0.0,0.0,0.05178556803168305,0.028080332218199812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033725924412959185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02954499061236807,0.0,0.0,0.032299193758049925,0.03279256815453235,0.0,0.032544540238595016,0.0,0.028080332218199812,0.0,0.0,0.02540732532520001,0.0,0.0,0.0,0
0.0,0.11709295192811428,0.0,0.0,0.2021917022391492,0.0,0.0,0.0881233784062904,0.0944516245554056,0.0,0.1393340418360657,0.0,0.0,0.062180624809304724,0.0,0.1383468669996221,0.018754385316000148,0.0,0.019493905799402453,0.07412197619172316,0.08286678871948272,0.03805498949091843,0.0,0.18316858462395816,0.0,0.0,0.022524982135680795,0.040642615822336116,0.0,0.0,0.01982914898440493,0.0,0.06827452158644333,0.0,0.02179097234612283,0.03946521243383496,0.0,0.0,0.0,0.0219016090654615,0.06952528974868809,0.0,0.023296354535622944,0.0,0.08585530650721891,0.0,0.03393825723250773,0.0,0.01963667448369644,0.0,0
0.0036975905682195055,0.005827508204336098,0.0,0.0,0.15513362823108368,0.0,0.016144699892553252,0.026314463963898232,0.05640827475396585,0.00449139048176551,0.03900604352756648,0.016433262832529463,0.02509406670478537,0.0077365480855207,0.005505693112247643,0.13555390669378495,0.004666862202063513,0.0026975792244795585,0.014552655916939562,0.0368891907895577,0.20414457674274689,0.02604152681745496,0.022422686406335338,0.1450268759809415,0.018094304755357084,0.0,0.0,0.03286905031701568,0.005605141728717789,0.0032744599396603772,0.014802922783417884,0.1224855335243344,0.02265267767419404,0.01305543558230342,0.01897871469322428,0.036827128382356425,0.002991693405402077,0.1224855335243344,0.016104070849511383,0.005450020877238387,0.020184209270173212,0.0054087994238399715,0.014492727247026231,0.009333724404127029,0.008011623908901555,0.005634043980821396,0.09500888091787828,0.004228585099820863,0.014659236073816502,0.006315912639931528,0
0.0044725707104843115,0.017622247534541922,0.006762546623700466,0.0076819117147900766,0.06846622599515023,0.013951216769099264,0.006509492288448371,0.1114040468122856,0.07391682743363953,0.0054327436062682885,0.034075414181952736,0.003312919979755608,0.03372616292813108,0.012477407554695029,0.006659634510754249,0.08328367150201889,0.025402466455851844,0.0032629664117809435,0.06160964415760235,0.044620817587786785,0.09727598890845096,0.005727197356379397,0.02410868462008971,0.17291709776441966,0.0,0.0,0.00677992662017423,0.01223325955454937,0.016949816550435575,0.0039607558891603676,0.00895273795856694,0.026592344373106324,0.03767564001862683,0.050533541966398574,0.03279496352073208,0.0415760309858357,0.0036187241537111343,0.026592344373106324,0.006493110785903991,0.0065922938998630035,0.027902433538198528,0.0032712164091223124,0.010518159791493628,0.0,0.01938156958011894,0.0068148865119850395,0.08172220240335218,0.005114856692572144,0.00886583691354961,0.015279336834168628,0
0.0,0.01618986539507559,0.0,0.0,0.06406594839622473,0.0,0.007475479768804159,0.060921926173363374,0.032648401605696445,0.0,0.02408128910763365,0.007609093055776055,0.038731015796123314,0.06448056411173059,0.007647902608490543,0.05977668589548669,0.0064826910764840436,0.014988720051695572,0.0,0.012810600441793829,0.06301670366571907,0.0065770948136061255,0.020764751244476805,0.05755867610920379,0.008378205233262909,0.008514297707173534,0.0,0.007024317738946295,0.007786045675640594,0.0,0.020562590297076758,0.008725303363915388,0.0,0.0,0.01506465177033584,0.05456660427214335,0.0,0.008725303363915388,0.007456667304570898,0.015141137740001438,0.0,0.015026617132134568,0.008052680326123371,0.0,0.007419243819315081,0.0,0.04105916123719288,0.0,0.020362996542255717,0.0,0
